text,label
"Follow-up: SSL certificate expired, getting security warnings",Technical
Follow-up: Feature request: dark mode for the dashboard,Other
Urgent: I was charged twice for my subscription this month,Billing
Can I get a demo of premium features? This is affecting our entire team.,Other
Feature request: dark mode for the dashboard Please help ASAP.,Other
Follow-up: Mobile app crashes on iOS 17 devices,Technical
Payment processing failed multiple times this week This is affecting our entire team.,Billing
Database connection errors in production environment,Technical
Can you help me understand the charges on my last invoice? Please help ASAP.,Billing
Application crashes when I try to upload large files Please help ASAP.,Technical
Urgent: How do I add new team members to my workspace?,Other
How do I add new team members to my workspace? This is affecting our entire team.,Other
"Urgent: Pro plan billing started early, please adjust charges",Billing
Follow-up: Database connection errors in production environment,Technical
Follow-up: Integration with GitHub service stopped working,Technical
I need to update my payment method urgently This is affecting our entire team.,Billing
"Follow-up: Login page not loading, getting timeout errors",Technical
Compliance requirements for healthcare industry use Please help ASAP.,Other
"Follow-up: Automatic billing charged wrong account, need refund",Billing
Follow-up: Application crashes when I try to upload large files,Technical
Subscription cancelled but still being charged monthly Please help ASAP.,Billing
Performance is very slow during peak hours Please help ASAP.,Technical
Dashboard widgets not displaying data correctly Please help ASAP.,Technical
Follow-up: Account security best practices documentation needed,Other
What are the data retention policies for my account? This is affecting our entire team.,Other
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
Urgent: Can you help me understand the charges on my last invoice?,Billing
Urgent: Account security best practices documentation needed,Other
Mobile app crashes on iOS 17 devices This is affecting our entire team.,Technical
Follow-up: Search functionality returning empty results,Technical
"My credit card was declined, how do I fix billing issues?",Billing
Mobile app crashes on iOS 17 devices,Technical
Performance is very slow during peak hours,Technical
What are the data retention policies for my account?,Other
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
Follow-up: Subscription cancelled but still being charged monthly,Billing
Follow-up: I need help setting up single sign-on integration,Other
Urgent: Search functionality returning empty results,Technical
Payment processing failed multiple times this week,Billing
"Follow-up: Invoice #Salesforce shows incorrect amount, please review",Billing
Payment processing failed multiple times this week Please help ASAP.,Billing
Compliance requirements for healthcare industry use Please help ASAP.,Other
Follow-up: I need to update my payment method urgently,Billing
Urgent: Subscription cancelled but still being charged monthly,Billing
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
How to export my data before subscription ends? Please help ASAP.,Other
Follow-up: Integration with Jira service stopped working,Technical
Follow-up: I need help setting up single sign-on integration,Other
I need to update my payment method urgently Please help ASAP.,Billing
Payment processing failed multiple times this week,Billing
Integration with GitHub service stopped working,Technical
Can you provide training materials for new users? This is affecting our entire team.,Other
I need to update my payment method urgently This is affecting our entire team.,Billing
"Urgent: SSL certificate expired, getting security warnings",Technical
Follow-up: Integration with Slack service stopped working,Technical
Search functionality returning empty results,Technical
"My credit card was declined, how do I fix billing issues? Please help ASAP.",Billing
Follow-up: Account security best practices documentation needed,Other
Dashboard widgets not displaying data correctly,Technical
"My payment failed but I still have access, please clarify billing",Billing
What are the data retention policies for my account?,Other
API returning 500 errors consistently since yesterday Please help ASAP.,Technical
"Urgent: Pro plan billing started early, please adjust charges",Billing
Follow-up: Feature request: dark mode for the dashboard,Other
Partnership opportunities with your company,Other
Search functionality returning empty results Please help ASAP.,Technical
Urgent: Payment processing failed multiple times this week,Billing
Partnership opportunities with your company This is affecting our entire team.,Other
"SSL certificate expired, getting security warnings Please help ASAP.",Technical
Compliance requirements for healthcare industry use Please help ASAP.,Other
Follow-up: Integration with Google Drive service stopped working,Technical
Dashboard widgets not displaying data correctly,Technical
Account security best practices documentation needed,Other
"Pro plan billing started early, please adjust charges",Billing
Follow-up: Partnership opportunities with your company,Other
Urgent: Account security best practices documentation needed,Other
Follow-up: Dashboard widgets not displaying data correctly,Technical
Follow-up: Feature request: dark mode for the dashboard,Other
Mobile app crashes on iOS 17 devices This is affecting our entire team.,Technical
Feature request: dark mode for the dashboard Please help ASAP.,Other
Follow-up: Dashboard widgets not displaying data correctly,Technical
Integration with Salesforce service stopped working Please help ASAP.,Technical
"SSL certificate expired, getting security warnings",Technical
Partnership opportunities with your company,Other
Urgent: What are the data retention policies for my account?,Other
How to export my data before subscription ends? This is affecting our entire team.,Other
Urgent: Can you provide training materials for new users?,Other
Search functionality returning empty results,Technical
Search functionality returning empty results This is affecting our entire team.,Technical
What are the data retention policies for my account?,Other
"Automatic billing charged wrong account, need refund Please help ASAP.",Billing
Follow-up: Account security best practices documentation needed,Other
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
"SSL certificate expired, getting security warnings",Technical
Follow-up: Dashboard widgets not displaying data correctly,Technical
Feature request: dark mode for the dashboard Please help ASAP.,Other
Follow-up: Subscription cancelled but still being charged monthly,Billing
Urgent: Search functionality returning empty results,Technical
Urgent: Partnership opportunities with your company,Other
"Invoice #GitHub shows incorrect amount, please review This is affecting our entire team.",Billing
Database connection errors in production environment This is affecting our entire team.,Technical
Follow-up: I need to update my payment method urgently,Billing
How to export my data before subscription ends? Please help ASAP.,Other
"Follow-up: Invoice #Jira shows incorrect amount, please review",Billing
How do I add new team members to my workspace?,Other
Subscription cancelled but still being charged monthly This is affecting our entire team.,Billing
I was charged twice for my subscription this month This is affecting our entire team.,Billing
Follow-up: Dashboard widgets not displaying data correctly,Technical
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
"My payment failed but I still have access, please clarify billing This is affecting our entire team.",Billing
Can you provide training materials for new users? Please help ASAP.,Other
I need help setting up single sign-on integration,Other
Can you provide training materials for new users? Please help ASAP.,Other
"My credit card was declined, how do I fix billing issues?",Billing
Urgent: Subscription cancelled but still being charged monthly,Billing
"Urgent: My payment failed but I still have access, please clarify billing",Billing
Urgent: Account security best practices documentation needed,Other
Follow-up: I was charged twice for my subscription this month,Billing
Can I get a demo of premium features?,Other
Compliance requirements for healthcare industry use This is affecting our entire team.,Other
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
Mobile app crashes on iOS 17 devices This is affecting our entire team.,Technical
Follow-up: I need help setting up single sign-on integration,Other
Follow-up: Database connection errors in production environment,Technical
Account security best practices documentation needed This is affecting our entire team.,Other
Payment processing failed multiple times this week,Billing
Search functionality returning empty results Please help ASAP.,Technical
What are the data retention policies for my account? Please help ASAP.,Other
Payment processing failed multiple times this week Please help ASAP.,Billing
Urgent: Can you provide training materials for new users?,Other
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
Application crashes when I try to upload large files Please help ASAP.,Technical
"Urgent: My payment failed but I still have access, please clarify billing",Billing
Urgent: Partnership opportunities with your company,Other
Subscription cancelled but still being charged monthly,Billing
What are the data retention policies for my account? Please help ASAP.,Other
Account security best practices documentation needed Please help ASAP.,Other
"Automatic billing charged wrong account, need refund",Billing
Compliance requirements for healthcare industry use Please help ASAP.,Other
Performance is very slow during peak hours,Technical
Urgent: Payment processing failed multiple times this week,Billing
Follow-up: What are the data retention policies for my account?,Other
Application crashes when I try to upload large files This is affecting our entire team.,Technical
Can you provide training materials for new users? Please help ASAP.,Other
I need to update my payment method urgently,Billing
Can you provide training materials for new users?,Other
"Urgent: My credit card was declined, how do I fix billing issues?",Billing
Urgent: Can you provide training materials for new users?,Other
Partnership opportunities with your company Please help ASAP.,Other
"Pro plan billing started early, please adjust charges Please help ASAP.",Billing
Subscription cancelled but still being charged monthly This is affecting our entire team.,Billing
"Urgent: Pro plan billing started early, please adjust charges",Billing
Follow-up: Search functionality returning empty results,Technical
Compliance requirements for healthcare industry use This is affecting our entire team.,Other
Payment processing failed multiple times this week,Billing
Urgent: Integration with Jira service stopped working,Technical
Mobile app crashes on iOS 17 devices,Technical
Urgent: How do I add new team members to my workspace?,Other
"My payment failed but I still have access, please clarify billing Please help ASAP.",Billing
Follow-up: Account security best practices documentation needed,Other
Account security best practices documentation needed,Other
Subscription cancelled but still being charged monthly,Billing
Performance is very slow during peak hours,Technical
Integration with Google Drive service stopped working This is affecting our entire team.,Technical
"Follow-up: Automatic billing charged wrong account, need refund",Billing
"Urgent: SSL certificate expired, getting security warnings",Technical
"Follow-up: Pro plan billing started early, please adjust charges",Billing
Urgent: Compliance requirements for healthcare industry use,Other
Urgent: I need help setting up single sign-on integration,Other
Urgent: Performance is very slow during peak hours,Technical
Partnership opportunities with your company Please help ASAP.,Other
"My payment failed but I still have access, please clarify billing Please help ASAP.",Billing
How do I add new team members to my workspace?,Other
"Follow-up: Automatic billing charged wrong account, need refund",Billing
How to export my data before subscription ends?,Other
Follow-up: Compliance requirements for healthcare industry use,Other
"Follow-up: Automatic billing charged wrong account, need refund",Billing
Urgent: I need help setting up single sign-on integration,Other
Search functionality returning empty results Please help ASAP.,Technical
Urgent: Account security best practices documentation needed,Other
Urgent: Subscription cancelled but still being charged monthly,Billing
I was charged twice for my subscription this month Please help ASAP.,Billing
Follow-up: What are the data retention policies for my account?,Other
Urgent: Can you provide training materials for new users?,Other
"Urgent: My credit card was declined, how do I fix billing issues?",Billing
Urgent: Can you help me understand the charges on my last invoice?,Billing
"Urgent: Automatic billing charged wrong account, need refund",Billing
Urgent: Partnership opportunities with your company,Other
Feature request: dark mode for the dashboard,Other
Performance is very slow during peak hours This is affecting our entire team.,Technical
Database connection errors in production environment,Technical
"My credit card was declined, how do I fix billing issues?",Billing
Dashboard widgets not displaying data correctly Please help ASAP.,Technical
Performance is very slow during peak hours This is affecting our entire team.,Technical
"Urgent: My credit card was declined, how do I fix billing issues?",Billing
API returning 500 errors consistently since yesterday,Technical
Urgent: I was charged twice for my subscription this month,Billing
Search functionality returning empty results This is affecting our entire team.,Technical
Follow-up: Performance is very slow during peak hours,Technical
"Urgent: Invoice #Slack shows incorrect amount, please review",Billing
"Follow-up: SSL certificate expired, getting security warnings",Technical
Application crashes when I try to upload large files,Technical
Follow-up: Payment processing failed multiple times this week,Billing
Follow-up: Database connection errors in production environment,Technical
I need help setting up single sign-on integration This is affecting our entire team.,Other
Mobile app crashes on iOS 17 devices Please help ASAP.,Technical
Follow-up: Performance is very slow during peak hours,Technical
"SSL certificate expired, getting security warnings This is affecting our entire team.",Technical
I need help setting up single sign-on integration Please help ASAP.,Other
Application crashes when I try to upload large files Please help ASAP.,Technical
Database connection errors in production environment,Technical
Account security best practices documentation needed Please help ASAP.,Other
Follow-up: Integration with Google Drive service stopped working,Technical
Follow-up: API returning 500 errors consistently since yesterday,Technical
Follow-up: Payment processing failed multiple times this week,Billing
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
Urgent: Integration with Slack service stopped working,Technical
Follow-up: Feature request: dark mode for the dashboard,Other
Urgent: What are the data retention policies for my account?,Other
"Automatic billing charged wrong account, need refund",Billing
Follow-up: How do I add new team members to my workspace?,Other
Follow-up: API returning 500 errors consistently since yesterday,Technical
"Automatic billing charged wrong account, need refund",Billing
Follow-up: Can you help me understand the charges on my last invoice?,Billing
Payment processing failed multiple times this week,Billing
Can I get a demo of premium features? Please help ASAP.,Other
"My credit card was declined, how do I fix billing issues? This is affecting our entire team.",Billing
Follow-up: Feature request: dark mode for the dashboard,Other
"My credit card was declined, how do I fix billing issues? This is affecting our entire team.",Billing
Integration with Google Drive service stopped working,Technical
"My credit card was declined, how do I fix billing issues? Please help ASAP.",Billing
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
How do I add new team members to my workspace? This is affecting our entire team.,Other
Urgent: Mobile app crashes on iOS 17 devices,Technical
"SSL certificate expired, getting security warnings Please help ASAP.",Technical
Mobile app crashes on iOS 17 devices,Technical
Urgent: Account security best practices documentation needed,Other
Urgent: Payment processing failed multiple times this week,Billing
Database connection errors in production environment,Technical
Partnership opportunities with your company Please help ASAP.,Other
Follow-up: I need to update my payment method urgently,Billing
"SSL certificate expired, getting security warnings Please help ASAP.",Technical
"Urgent: Automatic billing charged wrong account, need refund",Billing
Application crashes when I try to upload large files This is affecting our entire team.,Technical
How to export my data before subscription ends?,Other
Dashboard widgets not displaying data correctly Please help ASAP.,Technical
Application crashes when I try to upload large files This is affecting our entire team.,Technical
"SSL certificate expired, getting security warnings",Technical
I need help setting up single sign-on integration,Other
Follow-up: Mobile app crashes on iOS 17 devices,Technical
Application crashes when I try to upload large files Please help ASAP.,Technical
"Follow-up: SSL certificate expired, getting security warnings",Technical
Urgent: What are the data retention policies for my account?,Other
Can you help me understand the charges on my last invoice?,Billing
Feature request: dark mode for the dashboard This is affecting our entire team.,Other
Urgent: I need to update my payment method urgently,Billing
Urgent: Can you provide training materials for new users?,Other
"My credit card was declined, how do I fix billing issues? This is affecting our entire team.",Billing
"Login page not loading, getting timeout errors Please help ASAP.",Technical
Search functionality returning empty results,Technical
Urgent: Partnership opportunities with your company,Other
"Follow-up: Login page not loading, getting timeout errors",Technical
How to export my data before subscription ends? Please help ASAP.,Other
Follow-up: Subscription cancelled but still being charged monthly,Billing
Follow-up: Database connection errors in production environment,Technical
I was charged twice for my subscription this month,Billing
Dashboard widgets not displaying data correctly,Technical
Account security best practices documentation needed Please help ASAP.,Other
Urgent: I was charged twice for my subscription this month,Billing
Urgent: Feature request: dark mode for the dashboard,Other
"SSL certificate expired, getting security warnings Please help ASAP.",Technical
Payment processing failed multiple times this week,Billing
"Follow-up: Invoice #Google Drive shows incorrect amount, please review",Billing
"My credit card was declined, how do I fix billing issues? This is affecting our entire team.",Billing
I need to update my payment method urgently Please help ASAP.,Billing
I need help setting up single sign-on integration,Other
Follow-up: Can I get a demo of premium features?,Other
Urgent: Partnership opportunities with your company,Other
Urgent: I was charged twice for my subscription this month,Billing
Partnership opportunities with your company,Other
"Follow-up: Login page not loading, getting timeout errors",Technical
Search functionality returning empty results Please help ASAP.,Technical
Performance is very slow during peak hours This is affecting our entire team.,Technical
Integration with Google Drive service stopped working Please help ASAP.,Technical
Mobile app crashes on iOS 17 devices This is affecting our entire team.,Technical
Follow-up: Payment processing failed multiple times this week,Billing
Urgent: Can I get a demo of premium features?,Other
Urgent: Can you help me understand the charges on my last invoice?,Billing
How do I add new team members to my workspace?,Other
Integration with Jira service stopped working This is affecting our entire team.,Technical
"Urgent: SSL certificate expired, getting security warnings",Technical
Can you provide training materials for new users? Please help ASAP.,Other
"Automatic billing charged wrong account, need refund Please help ASAP.",Billing
Follow-up: Application crashes when I try to upload large files,Technical
Application crashes when I try to upload large files This is affecting our entire team.,Technical
"Follow-up: My credit card was declined, how do I fix billing issues?",Billing
"Invoice #Google Drive shows incorrect amount, please review This is affecting our entire team.",Billing
Urgent: Dashboard widgets not displaying data correctly,Technical
I need to update my payment method urgently Please help ASAP.,Billing
Compliance requirements for healthcare industry use,Other
Partnership opportunities with your company This is affecting our entire team.,Other
Follow-up: Application crashes when I try to upload large files,Technical
Account security best practices documentation needed Please help ASAP.,Other
What are the data retention policies for my account? Please help ASAP.,Other
Follow-up: I was charged twice for my subscription this month,Billing
Feature request: dark mode for the dashboard Please help ASAP.,Other
Urgent: Database connection errors in production environment,Technical
Follow-up: Application crashes when I try to upload large files,Technical
"My payment failed but I still have access, please clarify billing This is affecting our entire team.",Billing
"Follow-up: My credit card was declined, how do I fix billing issues?",Billing
Account security best practices documentation needed,Other
Dashboard widgets not displaying data correctly Please help ASAP.,Technical
Follow-up: Can I get a demo of premium features?,Other
I was charged twice for my subscription this month This is affecting our entire team.,Billing
"Invoice #Google Drive shows incorrect amount, please review This is affecting our entire team.",Billing
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
I was charged twice for my subscription this month Please help ASAP.,Billing
What are the data retention policies for my account? Please help ASAP.,Other
"Follow-up: My credit card was declined, how do I fix billing issues?",Billing
Follow-up: Integration with Salesforce service stopped working,Technical
"Pro plan billing started early, please adjust charges Please help ASAP.",Billing
"Follow-up: Automatic billing charged wrong account, need refund",Billing
What are the data retention policies for my account?,Other
Can you help me understand the charges on my last invoice?,Billing
How to export my data before subscription ends? Please help ASAP.,Other
Feature request: dark mode for the dashboard,Other
Follow-up: Can I get a demo of premium features?,Other
"Follow-up: Automatic billing charged wrong account, need refund",Billing
Performance is very slow during peak hours This is affecting our entire team.,Technical
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
"My payment failed but I still have access, please clarify billing Please help ASAP.",Billing
Follow-up: Payment processing failed multiple times this week,Billing
"SSL certificate expired, getting security warnings",Technical
I need help setting up single sign-on integration Please help ASAP.,Other
"SSL certificate expired, getting security warnings This is affecting our entire team.",Technical
Partnership opportunities with your company This is affecting our entire team.,Other
Feature request: dark mode for the dashboard This is affecting our entire team.,Other
API returning 500 errors consistently since yesterday This is affecting our entire team.,Technical
Urgent: Compliance requirements for healthcare industry use,Other
I need to update my payment method urgently Please help ASAP.,Billing
"Automatic billing charged wrong account, need refund Please help ASAP.",Billing
Follow-up: Feature request: dark mode for the dashboard,Other
"Follow-up: Pro plan billing started early, please adjust charges",Billing
Account security best practices documentation needed This is affecting our entire team.,Other
Urgent: API returning 500 errors consistently since yesterday,Technical
Follow-up: Payment processing failed multiple times this week,Billing
Payment processing failed multiple times this week This is affecting our entire team.,Billing
Can you help me understand the charges on my last invoice?,Billing
"Login page not loading, getting timeout errors Please help ASAP.",Technical
Follow-up: How to export my data before subscription ends?,Other
Follow-up: Subscription cancelled but still being charged monthly,Billing
Can I get a demo of premium features?,Other
"My payment failed but I still have access, please clarify billing",Billing
"Invoice #Google Drive shows incorrect amount, please review Please help ASAP.",Billing
I need help setting up single sign-on integration Please help ASAP.,Other
Follow-up: Can you provide training materials for new users?,Other
Follow-up: Can you provide training materials for new users?,Other
Can you help me understand the charges on my last invoice? This is affecting our entire team.,Billing
Urgent: I was charged twice for my subscription this month,Billing
Can I get a demo of premium features? Please help ASAP.,Other
Integration with Slack service stopped working,Technical
API returning 500 errors consistently since yesterday,Technical
Urgent: What are the data retention policies for my account?,Other
Mobile app crashes on iOS 17 devices,Technical
"Follow-up: Invoice #GitHub shows incorrect amount, please review",Billing
I need to update my payment method urgently,Billing
Urgent: Integration with Slack service stopped working,Technical
How do I add new team members to my workspace?,Other
Integration with Jira service stopped working Please help ASAP.,Technical
Performance is very slow during peak hours This is affecting our entire team.,Technical
Subscription cancelled but still being charged monthly,Billing
API returning 500 errors consistently since yesterday Please help ASAP.,Technical
Can I get a demo of premium features?,Other
Urgent: I need help setting up single sign-on integration,Other
Search functionality returning empty results This is affecting our entire team.,Technical
Urgent: I need help setting up single sign-on integration,Other
Compliance requirements for healthcare industry use Please help ASAP.,Other
Urgent: I need help setting up single sign-on integration,Other
Follow-up: Can I get a demo of premium features?,Other
Account security best practices documentation needed Please help ASAP.,Other
Payment processing failed multiple times this week Please help ASAP.,Billing
"Urgent: Invoice #Google Drive shows incorrect amount, please review",Billing
Follow-up: Search functionality returning empty results,Technical
Payment processing failed multiple times this week This is affecting our entire team.,Billing
Follow-up: Dashboard widgets not displaying data correctly,Technical
"My payment failed but I still have access, please clarify billing",Billing
Search functionality returning empty results,Technical
Can I get a demo of premium features? Please help ASAP.,Other
Subscription cancelled but still being charged monthly Please help ASAP.,Billing
I need to update my payment method urgently,Billing
Follow-up: I need to update my payment method urgently,Billing
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
Urgent: How do I add new team members to my workspace?,Other
Performance is very slow during peak hours Please help ASAP.,Technical
"Automatic billing charged wrong account, need refund",Billing
Partnership opportunities with your company,Other
Urgent: Can you help me understand the charges on my last invoice?,Billing
Compliance requirements for healthcare industry use This is affecting our entire team.,Other
How do I add new team members to my workspace? This is affecting our entire team.,Other
I was charged twice for my subscription this month Please help ASAP.,Billing
Can you help me understand the charges on my last invoice?,Billing
Feature request: dark mode for the dashboard,Other
Subscription cancelled but still being charged monthly,Billing
Subscription cancelled but still being charged monthly,Billing
"My payment failed but I still have access, please clarify billing",Billing
I need help setting up single sign-on integration,Other
I was charged twice for my subscription this month,Billing
"Urgent: SSL certificate expired, getting security warnings",Technical
"Urgent: SSL certificate expired, getting security warnings",Technical
Application crashes when I try to upload large files This is affecting our entire team.,Technical
"Follow-up: My credit card was declined, how do I fix billing issues?",Billing
Database connection errors in production environment,Technical
Follow-up: Feature request: dark mode for the dashboard,Other
"Login page not loading, getting timeout errors",Technical
Mobile app crashes on iOS 17 devices,Technical
Feature request: dark mode for the dashboard This is affecting our entire team.,Other
Integration with Salesforce service stopped working Please help ASAP.,Technical
"Urgent: Invoice #Slack shows incorrect amount, please review",Billing
Database connection errors in production environment Please help ASAP.,Technical
Urgent: Can you provide training materials for new users?,Other
API returning 500 errors consistently since yesterday,Technical
Follow-up: Search functionality returning empty results,Technical
Follow-up: Feature request: dark mode for the dashboard,Other
Partnership opportunities with your company,Other
Subscription cancelled but still being charged monthly Please help ASAP.,Billing
Application crashes when I try to upload large files,Technical
Subscription cancelled but still being charged monthly,Billing
I need to update my payment method urgently,Billing
How do I add new team members to my workspace?,Other
Partnership opportunities with your company This is affecting our entire team.,Other
Feature request: dark mode for the dashboard Please help ASAP.,Other
Follow-up: Application crashes when I try to upload large files,Technical
"SSL certificate expired, getting security warnings Please help ASAP.",Technical
"Automatic billing charged wrong account, need refund This is affecting our entire team.",Billing
Can you provide training materials for new users? This is affecting our entire team.,Other
Follow-up: Search functionality returning empty results,Technical
Payment processing failed multiple times this week Please help ASAP.,Billing
Follow-up: I need help setting up single sign-on integration,Other
Database connection errors in production environment,Technical
Account security best practices documentation needed This is affecting our entire team.,Other
"Pro plan billing started early, please adjust charges",Billing
"Follow-up: Invoice #GitHub shows incorrect amount, please review",Billing
Performance is very slow during peak hours Please help ASAP.,Technical
How do I add new team members to my workspace? This is affecting our entire team.,Other
Account security best practices documentation needed This is affecting our entire team.,Other
Integration with Salesforce service stopped working This is affecting our entire team.,Technical
How to export my data before subscription ends? Please help ASAP.,Other
Follow-up: Subscription cancelled but still being charged monthly,Billing
Partnership opportunities with your company This is affecting our entire team.,Other
Performance is very slow during peak hours This is affecting our entire team.,Technical
"Pro plan billing started early, please adjust charges Please help ASAP.",Billing
Follow-up: Can I get a demo of premium features?,Other
API returning 500 errors consistently since yesterday This is affecting our entire team.,Technical
Urgent: Compliance requirements for healthcare industry use,Other
Integration with Google Drive service stopped working This is affecting our entire team.,Technical
Application crashes when I try to upload large files Please help ASAP.,Technical
"Automatic billing charged wrong account, need refund Please help ASAP.",Billing
"Login page not loading, getting timeout errors",Technical
Mobile app crashes on iOS 17 devices This is affecting our entire team.,Technical
Follow-up: Application crashes when I try to upload large files,Technical
Compliance requirements for healthcare industry use,Other
Performance is very slow during peak hours This is affecting our entire team.,Technical
API returning 500 errors consistently since yesterday Please help ASAP.,Technical
Partnership opportunities with your company,Other
Compliance requirements for healthcare industry use,Other
"Urgent: My credit card was declined, how do I fix billing issues?",Billing
Can you provide training materials for new users? This is affecting our entire team.,Other
Urgent: How do I add new team members to my workspace?,Other
"Login page not loading, getting timeout errors",Technical
Subscription cancelled but still being charged monthly This is affecting our entire team.,Billing
I need help setting up single sign-on integration,Other
"Invoice #Slack shows incorrect amount, please review This is affecting our entire team.",Billing
"Follow-up: SSL certificate expired, getting security warnings",Technical
Subscription cancelled but still being charged monthly This is affecting our entire team.,Billing
Can you help me understand the charges on my last invoice?,Billing
"Urgent: SSL certificate expired, getting security warnings",Technical
Follow-up: Subscription cancelled but still being charged monthly,Billing
Urgent: What are the data retention policies for my account?,Other
"Login page not loading, getting timeout errors",Technical
API returning 500 errors consistently since yesterday This is affecting our entire team.,Technical
Follow-up: What are the data retention policies for my account?,Other
"Invoice #GitHub shows incorrect amount, please review This is affecting our entire team.",Billing
What are the data retention policies for my account?,Other
Application crashes when I try to upload large files Please help ASAP.,Technical
Mobile app crashes on iOS 17 devices,Technical
Urgent: Application crashes when I try to upload large files,Technical
Payment processing failed multiple times this week This is affecting our entire team.,Billing
Subscription cancelled but still being charged monthly Please help ASAP.,Billing
Payment processing failed multiple times this week,Billing
Dashboard widgets not displaying data correctly This is affecting our entire team.,Technical
Feature request: dark mode for the dashboard,Other
Follow-up: How to export my data before subscription ends?,Other
Payment processing failed multiple times this week This is affecting our entire team.,Billing
"Urgent: Pro plan billing started early, please adjust charges",Billing
"Login page not loading, getting timeout errors Please help ASAP.",Technical
I was charged twice for my subscription this month Please help ASAP.,Billing
I was charged twice for my subscription this month This is affecting our entire team.,Billing
API returning 500 errors consistently since yesterday This is affecting our entire team.,Technical
